2024-12-17 19:57:19,001 - pyiron_log - INFO - job: CHGNET_test_minimize_remote id: 1166, status: initialized, run job (modal)
2024-12-17 19:57:33,706 - pyiron_log - INFO - CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cpu
CHGNet will run on cpu
      Step     Time          Energy          fmax
FIRE:    0 19:57:30      -14.645470        0.208446
FIRE:    1 19:57:30      -14.646729        0.194245
FIRE:    2 19:57:30      -14.648911        0.167732
FIRE:    3 19:57:30      -14.651487        0.134000
FIRE:    4 19:57:30      -14.653901        0.097046
FIRE:    5 19:57:30      -14.655888        0.067882
FIRE:    6 19:57:30      -14.657179        0.027223
FIRE:    7 19:57:30      -14.657442        0.003739
FIRE:    8 19:57:30      -14.657441        0.003711
FIRE:    9 19:57:31      -14.657436        0.003662
FIRE:   10 19:57:31      -14.657440        0.003568
FIRE:   11 19:57:31      -14.657441        0.003461
FIRE:   12 19:57:31      -14.657446        0.003318
FIRE:   13 19:57:31      -14.657442        0.003167
FIRE:   14 19:57:31      -14.657444        0.002975
FIRE:   15 19:57:31      -14.657444        0.002749
FIRE:   16 19:57:31      -14.657445        0.002477
FIRE:   17 19:57:31      -14.657446        0.002132
FIRE:   18 19:57:31      -14.657448        0.001733
FIRE:   19 19:57:31      -14.657446        0.001265
FIRE:   20 19:57:31      -14.657446        0.000738
FIRE:   21 19:57:31      -14.657448        0.000128
FIRE:   22 19:57:31      -14.657448        0.000540
FIRE:   23 19:57:31      -14.657448        0.000536
FIRE:   24 19:57:31      -14.657449        0.000526
FIRE:   25 19:57:32      -14.657450        0.000515
FIRE:   26 19:57:32      -14.657450        0.000497
FIRE:   27 19:57:32      -14.657447        0.000473
FIRE:   28 19:57:32      -14.657450        0.000452
FIRE:   29 19:57:32      -14.657447        0.000421
FIRE:   30 19:57:32      -14.657446        0.000384
FIRE:   31 19:57:32      -14.657448        0.000343
FIRE:   32 19:57:32      -14.657445        0.000287
FIRE:   33 19:57:32      -14.657446        0.000222
FIRE:   34 19:57:32      -14.657448        0.000156
FIRE:   35 19:57:32      -14.657449        0.000072

2024-12-17 19:57:34,050 - pyiron_log - INFO - job: CHGNET_test_minimize_remote id: 1166, status: running, output: CHGNet v0.3.0 initialized with 412,525 parameters
CHGNet will run on cpu
CHGNet will run on cpu
      Step     Time          Energy          fmax
FIRE:    0 19:57:30      -14.645470        0.208446
FIRE:    1 19:57:30      -14.646729        0.194245
FIRE:    2 19:57:30      -14.648911        0.167732
FIRE:    3 19:57:30      -14.651487        0.134000
FIRE:    4 19:57:30      -14.653901        0.097046
FIRE:    5 19:57:30      -14.655888        0.067882
FIRE:    6 19:57:30      -14.657179        0.027223
FIRE:    7 19:57:30      -14.657442        0.003739
FIRE:    8 19:57:30      -14.657441        0.003711
FIRE:    9 19:57:31      -14.657436        0.003662
FIRE:   10 19:57:31      -14.657440        0.003568
FIRE:   11 19:57:31      -14.657441        0.003461
FIRE:   12 19:57:31      -14.657446        0.003318
FIRE:   13 19:57:31      -14.657442        0.003167
FIRE:   14 19:57:31      -14.657444        0.002975
FIRE:   15 19:57:31      -14.657444        0.002749
FIRE:   16 19:57:31      -14.657445        0.002477
FIRE:   17 19:57:31      -14.657446        0.002132
FIRE:   18 19:57:31      -14.657448        0.001733
FIRE:   19 19:57:31      -14.657446        0.001265
FIRE:   20 19:57:31      -14.657446        0.000738
FIRE:   21 19:57:31      -14.657448        0.000128
FIRE:   22 19:57:31      -14.657448        0.000540
FIRE:   23 19:57:31      -14.657448        0.000536
FIRE:   24 19:57:31      -14.657449        0.000526
FIRE:   25 19:57:32      -14.657450        0.000515
FIRE:   26 19:57:32      -14.657450        0.000497
FIRE:   27 19:57:32      -14.657447        0.000473
FIRE:   28 19:57:32      -14.657450        0.000452
FIRE:   29 19:57:32      -14.657447        0.000421
FIRE:   30 19:57:32      -14.657446        0.000384
FIRE:   31 19:57:32      -14.657448        0.000343
FIRE:   32 19:57:32      -14.657445        0.000287
FIRE:   33 19:57:32      -14.657446        0.000222
FIRE:   34 19:57:32      -14.657448        0.000156
FIRE:   35 19:57:32      -14.657449        0.000072

2024-12-17 19:57:34,052 - pyiron_log - INFO - run job: CHGNET_test_minimize_remote id: 1166, status: collect
